"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose81-TS_b3lyp-ircf-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.678755397","2.906","0.164411","-572.503657","-572.548783","51.7867","148.6045","18.251547622929614","89.7710991464334","0.7704385257377043","3s1","N/A","N/A","N/A","N/A","-171.39244314903172","-141.02523562864806","1.4240220763660936","1.5448437007415994","1.54460347389678","1.540883660793053","1.5509221471734165","1.444682256669957","1.3963202342661225","1.4351918679852531","1.4220071563761556","1.4291064501607287","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose36-TS_b3lyp-ircf-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.681124116","1.5333","0.16406","-572.506035","-572.552332","39.5235","104.5772","199.375738233797","86.394660283282","0.7178423664620248","1s3","N/A","N/A","N/A","N/A","59.76960428688888","-106.69356184035037","1.4135479217097666","1.5490304630584255","1.5317941665511068","1.5247600988844114","1.5385883851131203","1.4429479436625565","1.4142441368957483","1.4293974151403803","1.4252913746255536","1.4233068445570687","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose84-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.673800214","0.5475","0.163393","-572.49919","-572.545437","60.7863","121.9813","30.068723149751456","89.83263537646921","0.7321774579681822","3s1","N/A","N/A","N/A","N/A","-174.23289923511484","-151.42464231488242","1.4121653269376784","1.540752691309024","1.5412402475590885","1.536632584780435","1.5428472439130194","1.4361701473815698","1.400282455883098","1.435870257728044","1.4250481649509255","1.4325456164792798","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose33-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.688214445","3.8251","0.165016","-572.512785","-572.556765","129.0717","159.9711","29.388490373951957","177.70731186182027","0.5329143164052927","1c4","N/A","N/A","N/A","N/A","65.16952002091217","-70.59300258671034","1.4136522283121828","1.5415148335436155","1.5448665322444524","1.544436573571087","1.5266460403574234","1.43435262445223","1.4282142439385626","1.4167871539458565","1.4227495474056564","1.4385169736124075","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose37-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.678765993","1.398","0.163939","-572.503805","-572.549476","67.6964","140.6505","274.8573231107192","89.54233756509593","0.7088903292842548","1s5","N/A","N/A","N/A","N/A","92.76812582657328","-62.60484812463335","1.40556347911327","1.5278485387138345","1.5527112103507852","1.545401808699925","1.5262281403040634","1.4415019390944295","1.4313172082424637","1.4251721235808676","1.426355856216113","1.4253059313270255","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose80-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.676756185","1.8744","0.164","-572.50183","-572.547152","87.9867","132.37","328.59402583121533","92.55872331179937","0.7225287295873517","os2","N/A","N/A","N/A","N/A","-153.85528129432114","-89.61962771005841","1.4236939831961783","1.5544665229460555","1.5279860781122976","1.5513973139731163","1.54638139157777","1.426370882414879","1.3947249926455036","1.43513721341933","1.4319960119895583","1.4230829721983884","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose32-TS_b3lyp-ircf-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.677962162","2.907","0.163878","-572.502975","-572.548891","66.0466","149.4632","264.21835799866045","92.98072152676872","0.701614606441938","1s5","N/A","N/A","N/A","N/A","80.01546502613552","-60.407266303800725","1.415972247413769","1.5272310106378797","1.5540152315196272","1.5430050120181076","1.5274300990706577","1.4485075396155174","1.4206027389699767","1.4244171971687227","1.4281437050692765","1.4249774322398931","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose90-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.67876403","1.3971","0.163952","-572.503794","-572.549442","68.9536","141.2753","274.87875701168633","89.5533901652461","0.7090482475084303","1s5","N/A","N/A","N/A","N/A","92.7677630078144","-62.57678897376135","1.4055696404422655","1.5278027036021373","1.5527125549775784","1.5455152024409207","1.5262042320164757","1.4415458322963581","1.4313222595642114","1.425177822480409","1.4263338321129455","1.4253081799084715","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose27-TS_b3lyp-ircr-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.68075179","2.0588","0.164023","-572.505819","-572.551726","50.2543","101.5095","164.89790959518638","88.80096009350264","0.7332786079275377","bo3","N/A","N/A","N/A","N/A","73.26675504304778","-137.35991844292295","1.4174863306437915","1.54302824233745","1.5295930425734159","1.5307619530044507","1.5415654064936721","1.4330771713742425","1.4123859465078943","1.4202826411081","1.4353294675279262","1.4243513943904433","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose85-TS_b3lyp-ircf-b3lyp.log","N/A","C5H10O5","0","1","b3lyp","6-31+G(d,p)","-572.69028944","1.4558","0.163878","-572.515452","-572.560882","107.6052","109.9686","51.516362120897206","1.2565184599789632","0.5721134671972709","4c1","N/A","N/A","N/A","N/A","-177.1535427980377","177.30715586036476","1.4171854582357946","1.53754122685182","1.5249069446258026","1.5271382822737436","1.5313683290528115","1.4319640215752631","1.4020871797841246","1.423203705085467","1.4252942385356788","1.4202710154305056","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
