group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/e5,n/a,n/a,0.0,n/a,n/a,n/a,n/a
0_1-1,oh1/e1,0.07662,0.0824,n/a,n/a,0.04219,0.04219,n/a
0_1-2,4h5/1s5,n/a,n/a,n/a,n/a,0.0,0.0,n/a
0_1-3,oh5/oe,0.06535,0.07197,0.13394,0.17375,n/a,n/a,n/a
0_1-4,oh1/oe,0.09028,0.11428,n/a,0.08631,0.12586,0.13751,n/a
0_2-0,oh1/e1,0.06003,0.05785,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,2h3/2e,0.00949,0.00949,n/a,n/a,n/a,n/a,n/a
0_3-1,e1/oh1,0.02588,0.0345,n/a,0.15222,n/a,n/a,n/a
0_3-2,2h1,n/a,n/a,n/a,n/a,0.03782,0.03782,n/a
0_4-0,e3,0.00894,0.00894,n/a,n/a,n/a,n/a,n/a
0_4-1,oh1,n/a,n/a,n/a,0.09844,n/a,n/a,0.09864
0_4-2,4e,n/a,n/a,0.09607,0.06877,0.05621,0.05621,0.03962
0_4-3,2h3/2e,0.00316,0.00316,n/a,n/a,n/a,n/a,n/a
0_4-4,4h3/e3,0.05902,0.06663,n/a,0.0228,n/a,n/a,n/a
0_4-5,2e,n/a,n/a,n/a,n/a,0.0,0.0,n/a
0_6-0,e5/4h5,0.08465,0.08899,0.16993,0.12231,0.13164,0.13164,n/a
0_6-1,4h5/e5,n/a,n/a,n/a,n/a,n/a,n/a,0.0
0_6-2,oh5/e5,n/a,n/a,0.0,n/a,n/a,n/a,n/a
0_7-0,oh5/e5,0.05559,0.08179,0.08012,0.13364,n/a,n/a,n/a
0_7-1,e5/4h5,n/a,n/a,n/a,0.05167,0.12432,0.12432,n/a
1_6-0,b25/os2,0.10864,0.11807,n/a,n/a,n/a,n/a,n/a
1_6-1,oe/3ob,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1_6-2,os2,n/a,n/a,n/a,n/a,n/a,n/a,0.1033
1_7-0,3ob,0.03564,0.02983,0.10354,n/a,n/a,n/a,n/a
1_8-0,3h4/e4,0.05532,0.06907,0.09499,n/a,n/a,n/a,n/a
1_8-1,3h2/3e,0.03126,0.02627,0.14272,0.07583,n/a,n/a,0.18499
1_8-2,5s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1_8-3,3e/3h4,n/a,n/a,n/a,n/a,n/a,0.0,n/a
2_3-0,b14,0.04879,0.04111,n/a,n/a,0.09105,0.09105,n/a
2_7-0,3ob,0.00548,0.00316,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a,n/a,n/a
3_4-1,25b,n/a,n/a,0.0,n/a,n/a,n/a,n/a
3_8-0,5e,0.06011,0.06814,0.20773,0.08701,0.02345,0.02345,n/a
3_8-1,3h4/3e,n/a,0.0,n/a,n/a,n/a,n/a,n/a
3_8-2,5h4,n/a,n/a,n/a,n/a,0.12335,0.0788,n/a
4_5-0,bo3,0.0228,0.02345,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.06986,0.09844,n/a,0.13509,0.17386,0.17386,n/a
4_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
4_7-0,1s5/14b,n/a,n/a,n/a,0.0,n/a,n/a,n/a
4_7-1,3s1/b14,n/a,n/a,n/a,0.0,n/a,n/a,n/a
4_7-2,3ob,n/a,n/a,n/a,n/a,n/a,n/a,0.0
4_7-3,14b,0.0,n/a,n/a,n/a,n/a,n/a,n/a
4_8-0,5e,0.05486,0.0429,n/a,0.22422,0.10927,0.10927,0.22399
4_8-1,3h4/3s1,0.07723,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5ho/5e,0.03681,0.0993,0.14236,0.15815,0.12746,0.12746,n/a
5_6-0,14b,0.05805,0.05545,0.11349,n/a,n/a,n/a,0.2203
5_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
5_6-2,14b,n/a,n/a,0.04837,0.14332,0.088,0.088,0.11576
5_7-0,14b,0.00447,0.00316,n/a,n/a,n/a,n/a,n/a
5_8-0,1e/1ho,0.03435,0.04517,0.09579,n/a,n/a,n/a,n/a
5_8-1,5e/5ho,0.0,n/a,n/a,n/a,n/a,n/a,n/a
5_8-2,1s3,n/a,n/a,n/a,n/a,n/a,n/a,0.0
5_8-3,5ho/eo,n/a,n/a,0.08689,0.13543,n/a,n/a,0.2966
6_7-0,b25,0.06293,0.10656,n/a,0.15917,n/a,n/a,n/a
6_8-0,1h2/1e,0.06351,0.06606,0.09966,0.11541,0.10964,0.10964,n/a
6_8-1,3s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-2,3h2/3e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-3,1s5/1h2,n/a,n/a,n/a,n/a,n/a,n/a,0.18127
6_8-4,1e/1ho,0.0555,n/a,0.06305,n/a,n/a,n/a,n/a
6_8-5,1s5/14b,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-6,1h2/e2,0.05941,0.06496,n/a,0.07287,n/a,n/a,0.17395
6_8-7,e2/b25,n/a,n/a,n/a,n/a,n/a,n/a,0.0
7_8-0,3h2/e2,0.02781,0.04539,0.08923,0.12117,0.12966,0.12966,n/a
7_8-1,b14/3s1,n/a,n/a,n/a,0.0,n/a,n/a,n/a
7_8-2,e2/3h2,n/a,n/a,n/a,n/a,0.01612,0.0248,n/a
