,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6
4c1,0.00224,0.0,0.0,0.00316,0.00577,0.0,0.0,0.0,0.0
2h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oh1,n/a,0.93687,0.0,0.53589,0.54342,0.05273,n/a,n/a,n/a
oh5,n/a,0.92181,0.0,0.49761,0.49636,0.05206,n/a,n/a,n/a
e3,n/a,0.39659,0.0,n/a,0.51079,n/a,5.32943,5.33069,5.2466
1s3,2.46961,0.06519,0.0,0.02828,0.11937,0.00707,2.37954,1.94775,n/a
1s5,516.6356589147287,35.268733850129195,1.0,40.966408268733844,48.71317829457364,34.79328165374677,463.51162790697674,464.05943152454773,521.2144702842377
bo3,3.58433,0.20895,0.0,0.1161,0.0502,0.01643,n/a,3.30007,2.95477
os2,1348.0327868852457,36.114754098360656,1.0,13.273224043715846,73.44262295081967,4.4590163934426235,1296.6284153005465,1302.0928961748632,n/a
25b,3.97401,0.26668,0.0,0.30183,n/a,0.13054,3.57555,3.57555,3.86106
b14,3.96899,0.27359,0.0,0.36835,0.08786,0.13867,3.57053,3.57053,3.85604
14b,3.96899,0.27485,0.0,0.3671,0.08155,n/a,3.57053,3.57053,3.85604
b25,3.97401,0.26418,0.0,0.31124,0.12112,0.13428,3.57555,3.57555,3.86106
3ob,3.58433,0.20895,0.0,0.11735,0.0496,0.01643,n/a,n/a,2.91141
2so,956.0736434108528,37.74031007751938,1.0,17.18217054263566,65.18604651162791,2.918604651162791,1304.2984496124031,920.4728682170544,n/a
5s1,516.7157622739018,37.041343669250644,1.0,40.90439276485788,74.41343669250647,21.330749354005167,463.69509043927644,464.1808785529716,521.2558139534883
3s1,1563.2531645569618,47.278481012658226,1.0,15.10759493670886,76.20886075949367,3.0569620253164556,2130.151898734177,2126.1772151898736,n/a
3e,n/a,0.39659,0.0,n/a,0.51079,n/a,5.33069,5.33069,5.2466
1ho,n/a,0.93687,0.0,0.53339,0.54405,0.0502,n/a,n/a,n/a
5ho,n/a,n/a,0.0,n/a,0.48883,0.06025,n/a,n/a,n/a
eo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1c4,0.0,0.0,0.0,0.0,0.00606,0.0,0.0,0.0,0.0
