LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,0.195,0.119,0.112,0.063,0.092,0.045,0.053,0.027
1s5,1h2,1c4,0.018,0.021,0.027,0,0.075,0,0,0.539
2so,5ho,1c4,0.0,0.002,0.0,0.18,0.213,0.128,0.151,0
2so,5e,1c4,0.189,0.249,0.039,0.182,0.154,0.286,0.337,0.207
1s3,5ho,1c4,0.0,0,0,0,0.213,0,0,0.013
3ob,3h2,1c4,0.061,0.154,0.382,0.168,0.044,0,0,0.087
os2,3h2,1c4,0.061,0.154,0.382,0.168,0.044,0.006,0.007,0
os2,b14,1c4,0,0,0,0,0.01,0,0,0
os2,3h4,1c4,0,0,0,0,0.001,0,0,0
5s1,5e,1c4,0.189,0.249,0.039,0.182,0.154,0.286,0.337,0
1s3,1e(b),1c4,0.004,0.003,0.001,0.013,0,0,0,0
1s5,1e(b),1c4,0.004,0,0.001,0.013,0,0,0,0
1s3,1e(a),1c4,0,0,0,0,0,0,0,0
3ob,3h4,1c4,0.03,0.016,0.009,0.029,0,0,0,0
b14,3h4,1c4,0.03,0.016,0.009,0,0,0,0,0
5s1,3h4,1c4,0,0.016,0,0,0,0,0,0
b14,5e,1c4,0,0,0,0,0,0,0,0
5s1,5ho,1c4,0,0,0,0,0,0,0,0
1s3,eo,1c4,0,0,0,0.004,0,0,0,0
b25,e2,1c4,0,0,0,0,0,0.039,0.044,0
5s1,5h4,1c4,0,0,0,0,0,0.211,0.063,0
3ob,3e,1c4,0,0,0,0,0,0,0.008,0
1s5,1s5,1c4,0,0,0,0,0,0,0,0.019
b25,1s5,1c4,0,0,0,0,0,0,0,0.019
1s5,oh1,1c4,0,0,0,0,0,0,0,0.001
b25,3h2,1c4,0,0,0,0,0,0,0,0.087
3ob,b14,1c4,0,0,0,0,0,0,0,0.0
2so,3h4,1c4,0.03,0,0,0,0,0,0,0
1s3,5e,1c4,0.189,0,0,0,0,0,0,0
