LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,9.512,8.33,10.376,6.708,5.489,4.58,4.483,4.462,4.412,5.118
1s5,1h2,1c4,11.547,10.111,11.475,n/a,n/a,4.936,n/a,n/a,2.479,n/a
2so,5ho,1c4,13.477,11.242,15.277,6.33,5.301,3.637,3.595,3.574,n/a,n/a
2so,5e,1c4,9.589,8.005,11.294,6.457,n/a,3.835,3.203,3.181,3.299,4.671
1s3,5ho,1c4,13.477,n/a,n/a,n/a,5.301,3.637,n/a,n/a,5.18,n/a
3ob,3h2,1c4,10.083,8.034,9.37,5.866,5.343,4.902,n/a,n/a,3.294,7.006
os2,3h2,1c4,10.083,8.034,9.37,5.866,5.343,4.902,4.92,4.899,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,5.732,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,8.496,n/a,n/a,n/a,n/a
5s1,5e,1c4,9.589,8.005,11.294,6.457,5.527,3.835,3.203,3.181,n/a,n/a
1s3,1e(b),1c4,12.063,10.684,13.788,8.035,6.719,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,12.063,n/a,13.788,8.035,6.719,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,11.117,10.031,12.478,7.801,6.615,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,11.117,10.031,12.478,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,10.031,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,8.853,n/a,n/a,n/a,n/a,n/a,8.177
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,3.93,3.944,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,3.599,4.602,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.698,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.659,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.659,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.792,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.409,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.294,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.84,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.006
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,11.117,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,9.589,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
