LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,2so,n/a,n/a,n/a,n/a,5.144,3.452,n/a,n/a,n/a
4c1,oh1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,2so,n/a,n/a,n/a,6.772,n/a,3.58,n/a,n/a,0.673
4c1,4e,1s3,n/a,n/a,n/a,6.772,6.118,3.58,n/a,n/a,n/a
4c1,oh5,os2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,1s5,n/a,n/a,n/a,7.455,n/a,n/a,2.906,2.88,0.515
4c1,4h5,os2,n/a,n/a,n/a,n/a,n/a,n/a,2.906,2.88,n/a
4c1,4h3,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,8.436,6.999,7.718,n/a,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,n/a,2.906,2.88,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,2.906,2.88,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
