LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,3.264,2.539,2.674,2.936,2.236,1.871,2.284,2.284,1.792,2.204
1s5,1h2,1c4,5.299,4.32,3.773,n/a,n/a,2.228,n/a,n/a,-0.141,n/a
2so,5ho,1c4,10.83,9.345,10.186,2.962,2.473,1.727,2.135,2.063,n/a,n/a
2so,5e,1c4,6.942,6.109,6.203,3.089,n/a,1.924,1.743,1.67,1.115,-0.466
1s3,5ho,1c4,8.184,n/a,n/a,n/a,2.458,1.27,n/a,n/a,1.657,n/a
3ob,3h2,1c4,3.782,2.169,2.41,3.184,3.119,1.972,n/a,n/a,0.113,2.472
os2,3h2,1c4,3.199,1.883,2.083,3.157,2.935,1.678,2.866,2.904,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,2.508,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,5.273,n/a,n/a,n/a,n/a
5s1,5e,1c4,2.458,2.057,2.54,2.22,1.72,1.472,1.685,1.685,n/a,n/a
1s3,1e(b),1c4,6.77,6.555,6.846,4.406,3.876,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,5.815,n/a,6.087,4.263,3.466,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,4.815,4.166,5.518,5.119,4.391,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,2.157,1.842,2.172,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,4.083,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,5.225,n/a,n/a,n/a,n/a,n/a,4.607
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.986,2.058,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.081,3.106,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.221,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.038,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.473,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.172,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.777,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.892,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.659,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.091
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,8.47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,4.296,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
