LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,9.643,8.486,10.457,7.096,5.985,4.778,4.336,4.329,4.745,5.338
1s5,1h2,1c4,11.045,9.518,11.299,n/a,n/a,4.903,n/a,n/a,2.981,n/a
2so,5ho,1c4,13.208,10.843,14.73,6.477,5.665,4.283,3.718,3.711,n/a,n/a
2so,5e,1c4,9.663,8.05,11.082,6.471,n/a,4.476,3.243,3.236,3.549,4.602
1s3,5ho,1c4,13.208,n/a,n/a,n/a,5.665,4.283,n/a,n/a,5.183,n/a
3ob,3h2,1c4,10.329,8.333,9.729,6.52,5.846,5.217,n/a,n/a,4.059,6.927
os2,3h2,1c4,10.329,8.333,9.729,6.52,5.846,5.217,5.56,5.553,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,6.086,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,7.516,n/a,n/a,n/a,n/a
5s1,5e,1c4,9.663,8.05,11.082,6.471,5.653,4.476,3.243,3.236,n/a,n/a
1s3,1e(b),1c4,12.013,10.663,13.643,8.055,6.926,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,12.013,n/a,13.643,8.055,6.926,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,10.752,9.657,11.93,7.562,6.498,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,10.752,9.657,11.93,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,9.657,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,8.748,n/a,n/a,n/a,n/a,n/a,8.265
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,4.417,4.447,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,3.424,4.231,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.459,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.954,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.954,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.861,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.059,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.337,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.927
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,10.752,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,9.663,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
